Age	Conference	Date	Draft Year	Player	Position	Season	Team
28	NOVALUES	2-Dec-90	1984	MichaelJordan	SG	1990-1991	ChicagoBulls
28	NOVALUES	25-Nov-90	1984	CharlesBarkley	PF	1990-1991	PhiladelphiaSixers
28	NOVALUES	18-Nov-90	1983	ClydeDrexler	SG	1990-1991	PortlandTrailBlazers
27	NOVALUES	11-Nov-90	1985	ChrisMullin	SF	1990-1991	GoldenStateWarriors
28	NOVALUES	19-Apr-92	1985	KarlMalone	PF	1991-1992	UtahJazz
26	NOVALUES	12-Apr-92	1987	ReggieLewis	SF	1991-1992	BostonCeltics
24	NOVALUES	5-Apr-92	1989	MookieBlaylock	PG	1991-1992	NewJerseyNets
26	NOVALUES	29-Mar-92	1987	MarkJackson	PG	1991-1992	NewYorkKnicks
22	NOVALUES	22-Mar-92	1991	LarryJohnson	F	1991-1992	CharlotteHornets
28	NOVALUES	15-Mar-92	1985	JoeDumars	SG	1991-1992	DetroitPistons
28	NOVALUES	8-Mar-92	1985	KarlMalone	PF	1991-1992	UtahJazz
25	NOVALUES	1-Mar-92	1988	DannyManning	F	1991-1992	LosAngelesClippers
25	NOVALUES	23-Feb-92	1989	TimHardaway	PG	1991-1992	GoldenStateWarriors
29	NOVALUES	16-Feb-92	1984	JohnStockton	PG	1991-1992	UtahJazz
33	NOVALUES	2-Feb-92	1981	LarryNance	PF	1991-1992	ClevelandCavaliers
